itemID,Item,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
1,Idly,1,piece,50,78,2.5,15.1,0.9,1.1,70,40,1,20,,,,,,,,,,,,,,,
2,Puri,1,piece,50,141,3,23.1,6.6,3.6,57,34,2,0,,,,,,,,,,,,,,,
3,Saada Dosa,1,piece,60,116,2.7,16.2,4.5,1.1,55,70,3,50,,,,,,,,,,,,,,,
4,Butter Masala Dosa,1,piece,107,190,3.4,23.6,9.2,2,65,500,200,205,,,,,,,,,,,,,,,
5,Masala Dosa,1,piece,103,163,3.3,22.1,6.8,1.9,65,500,200,205,,,,,,,,,,,,,,,
6,Raagi Dosa,1,piece,60,106,2.8,14.7,4,2.5,85,135,5,82,.,,,,,,,,,,,,,,
7,Poori,1,piece,50,141,3,23.1,6.6,3.6,57,34,2,0,,,,,,,,,,,,,,,
8,Upma,1,plate,130,205.2,5.28,29.16,7.56,2.5,69,61,8,44,,,,,,,,,,,,,,,
9,Uppit,1,plate,130,205.2,5.28,29.16,7.56,2.5,69,61,8,44,,,,,,,,,,,,,,,
10,Vermicelli Upma,1,plate,100,228,3.24,24.84,12.6,1.2,55,84,7,49,,,,,,,,,,,,,,,
11,Sevian Upma,1,plate,100,228,3.24,24.84,12.6,1.2,55,84,7,49,,,,,,,,,,,,,,,
12,Aval,1,plate,94,195.6,3.72,43.56,0.72,0.3,83,190,10,117,,,,,,,,,,,,,,,
13,Poha,1,plate,94,195.6,3.72,43.56,0.72,0.3,83,190,10,117,,,,,,,,,,,,,,,
14,Curds Poha,1,plate,100,136,3,16,6.8,1.3,67,200,10,117,,,,,,,,,,,,,,,
15,Avalakki,1,plate,94,195.6,3.72,43.56,0.72,0.3,83,190,10,117,,,,,,,,,,,,,,,
16,Mosaru Avalakki,1,plate,100,163.2,3.6,19.2,8.16,1.3,67,200,10,117,,,,,,,,,,,,,,,
17,Sheera,1,plate,1 KATORI,306,2.4,36.48,17.04,0.8,89,70,6,48,,,,,,,,,,,,,,,
18,Kesari Bath,1,plate,1 KATORI,306,2.4,36.48,17.04,0.8,89,70,6,48,,,,,,,,,,,,,,,
19,Kuzhi Paniyaram,1,piece,20,39.6,0.96,5.4,1.68,0.4,55,20,1,16,,,,,,,,,,,,,,,
20,Ponganalu,1,piece,20,39.6,0.96,5.4,1.68,0.4,55,20,1,16,,,,,,,,,,,,,,,
21,Vada,1,piece,65,135,4.4,11,8.4,3.4,53,120,6,60,,,,,,,,,,,,,,,
22,Paddu,1,piece,20,60,0.8,4.5,4.7,0.4,55,20,1,16,,,,,,,,,,,,,,,
23,Utappa,1,piece,120,226,5.2,31.7,8.7,2.6,55,103,6,17,,,,,,,,,,,,,,,
24,Utapam,1,piece,120,226,5.2,31.7,8.7,2.6,55,103,6,17,,,,,,,,,,,,,,,
25,Tomato Utapam,1,piece,150,226,5.2,31.7,8.7,2.6,48,103,6,17,,,,,,,,,,,,,,,
26,Onion Utapam,1,piece,150,226,5.2,31.7,8.7,2.6,48,103,6,17,,,,,,,,,,,,,,,
27,Neer Dosa,1,piece,21,99,1.4,17,2.4,0.3,50,18,3,45,,,,,,,,,,,,,,,
28,Pongal,1,plate,100,319,7,54,8.1,1.4,45,182,5,55,,,,,,,,,,,,,,,
29,Onion Thalipeeth,1,piece,50,226,5.2,31.7,8.7,2.6,44,94,8,50,,,,,,,,,,,,,,,
30,Thalipeeth,1,piece,50,226,5.2,31.7,8.7,2.6,44,94,8,50,,,,,,,,,,,,,,,
31,Taalipattu,1,piece,50,226,5.2,31.7,8.7,2.6,44,94,8,50,,,,,,,,,,,,,,,
32,Ragi Mudhe,1,piece,150,160,3,21.4,7,3.4,85,200,7,82,,,,,,,,,,,,,,,
33,Rice,1,bowl,155,266.5,5.2,58.5,0.65,0.75,73,68.75,2.5,85,,,,,,,,,,,,,,,
34,Rice,1,big spoon,31,80,1.3,16,0.2,0.15,73,13.75,0.5,17,,,,,,,,,,,,,,,
35,Rasam,1,cup,150,60,0.5,10,3,1,18,164,7,33,,,,,,,,,,,,,,,
36,Saar,1,cup,150,120,1,20,6,1,18,164,7,33,,,,,,,,,,,,,,,
37,Salna,1,cup,150,120,1,20,6,2.4,22,150,6,40,,,,,,,,,,,,,,,
38,Sambar,1,cup,150,120,1,20,6,2.4,22,150,6,40,,,,,,,,,,,,,,,
39,Puliyogare,1,plate,100,238,5.5,44,4.3,1.3,70,53,4,71,,,,,,,,,,,,,,,
40,Bisi Bele Bath,1,plate,124,319,7,54,8.1,2.8,70,169,3,45,,,,,,,,,,,,,,,
41,Til Rice,1,plate,124,286,5.2,43,10,1.1,70,53,4,71,,,,,,,,,,,,,,,
42,Ellu Sadam,1,plate,124,286,5.2,43,10,1.1,70,53,4,71,,,,,,,,,,,,,,,
43,Chitranna,1,plate,124,286,5.2,43,10,1.8,70,53,4,71,,,,,,,,,,,,,,,
44,Lemon Rice,1,plate,124,286,5.2,43,10,1.8,70,53,4,71,,,,,,,,,,,,,,,
45,Sesame Rice,1,plate,124,286,5.2,43,10,1.1,70,53,4,71,,,,,,,,,,,,,,,
46,Brinjal Rice,1,plate,124,286,5.2,43,10,1.6,70,53,4,71,,,,,,,,,,,,,,,
47,Vaangi Bath,1,plate,124,286,5.2,43,10,1.6,70,53,4,71,,,,,,,,,,,,,,,
48,Curd Rice,1,plate,124,268,7,44,7.5,0.6,65,168,21,231,,,,,,,,,,,,,,,
49,Ghee Rice,1,plate,124,233,2.7,25.8,13.2,0.8,70,100,4,70,,,,,,,,,,,,,,,
50,Veg Biriyani,1,plate,124,319,7,54,8.1,1.5,66,53,4,71,,,,,,,,,,,,,,,
51,Thakkali Sadam,1,plate,124,319,7,54,8.1,1.9,70,300,5,80,,,,,,,,,,,,,,,
52,Tomato Rice,1,plate,124,280,5.5,46,8,1.9,70,300,5,80,,,,,,,,,,,,,,,
53,Pulav,1,plate,124,280,5.5,46,8,1.7,66,53,4,71,,,,,,,,,,,,,,,
54,Vegetable Pulao,1,plate,124,280,5.5,46,8,1.7,66,53,4,71,,,,,,,,,,,,,,,
55,Kichdi,1,plate,100,319,7,54,8.1,1.1,70,60,5,89,,,,,,,,,,,,,,,
56,Mushroom Biriyani,1,plate,124,319,7,54,8.1,1.7,70,55,7,80,,,,,,,,,,,,,,,
57,Pudina Rice,1,plate,124,280,5.5,46,8,1,70,300,5,80,,,,,,,,,,,,,,,
58,Cumin Rice,1,plate,124,280,5.5,46,8,0.6,70,60,5,89,,,,,,,,,,,,,,,
59,Jeera Rice,1,plate,124,280,5.5,46,8,0.6,70,60,5,89,,,,,,,,,,,,,,,
60,Veg Fried Rice,1,plate,124,280,5.5,46,8,0.6,66,60,5,89,,,,,,,,,,,,,,,
61,Green Gram Baaji,1,small cup,100,118,5,20,2.5,2.4,40,360,232,180,,,,,,,,,,,,,,,
62,Hesar Kaalu palya,1,small cup,100,118,5,20,2.5,2.4,40,360,232,180,,,,,,,,,,,,,,,
63,Moong Daal,1,small cup,100,118,5,20,2.5,2.4,40,360,232,180,,,,,,,,,,,,,,,
64,Madki Kaal Palya,1,cup,100,120,4,21,3,0.3,38,210,6,160,,,,,,,,,,,,,,,
65,Matki Baaji,1,cup,100,120,4,21,3,0.3,38,210,6,160,,,,,,,,,,,,,,,
66,Moth Beans Baaji,1,cup,100,120,4,21,3,0.3,38,210,6,160,,,,,,,,,,,,,,,
67,Hulli Kaalu Palya,1,cup,100,100,4.5,13,3.5,1,51,190,7,180,,,,,,,,,,,,,,,
68,Horse Gram Baaji,1,cup,100,100,4.5,13,3.5,1,51,190,7,180,,,,,,,,,,,,,,,
69,Bendi kaayi palya,1,cup,100,85.8,1.82,13,3.38,1.6,32,188,15,17,,,,,,,,,,,,,,,
70,bendi baaji,1,cup,100,85.8,1.82,13,3.38,1.6,32,188,15,17,,,,,,,,,,,,,,,
71,Bendi fry,1,cup,100,127.4,1.82,7.8,11.05,1.6,32,188,15,17,,,,,,,,,,,,,,,
72,Kosu Palya,1,cup,100,78,1.3,11.7,2.73,1.4,21,147,15,40,,,,,,,,,,,,,,,
73,Cabbage Baaji,1,cup,100,78,1.3,11.7,2.73,1.4,21,147,15,40,,,,,,,,,,,,,,,
74,Bele Palya,1,cup,100,180,8,20,8,2.8,45,226,188,,,,,,,,,,,,,,,,
75,Daal Fry,1,cup,100,180,8,20,8,2.8,45,226,188,,,,,,,,,,,,,,,,
76,Green Peas baaji,1,cup,120,88.8,2.88,10.8,4.2,1.5,46,230,26,240,,,,,,,,,,,,,,,
77,Green Peas masala,1,cup,120,88.8,2.88,10.8,4.2,1.5,46,230,26,240,,,,,,,,,,,,,,,
78,Bataani Kaalu Palya,1,cup,120,88.8,2.88,10.8,4.2,1.5,46,230,26,240,,,,,,,,,,,,,,,
79,Kulcha,1,piece,70,163,3.8,24.7,5.2,1.2,55,24,2,24,,,,,,,,,,,,,,,
80,Paratha,1,piece,1 PAROTA,140,4.3,23.2,4.2,3.5,52,24,2,24,,,,,,,,,,,,,,,
81,Aloo Paratha,1,piece,100,210,4.92,33.36,6.48,3.8,78,243,7,97,,,,,,,,,,,,,,,
82,Methi Paratha,1,piece,80,243.6,6.96,36,8.16,4.9,46,57,5,64,,,,,,,,,,,,,,,
83,Paneer Paratha,1,piece,80,280.8,8.4,26.4,16.2,3.6,46,57,5,64,,,,,,,,,,,,,,,
84,Alu Gadde Palya,1,cup,100,120,1.44,13.2,6.96,0.6,70,300,,,,,,,,,,,,,,,,,
85,Potato Baaji,1,cup,100,120,1.44,13.2,6.96,0.6,70,300,,,,,,,,,,,,,,,,,
