-,Quantity,Units,grams,Calories (kCal),Protein(g),Carbohydrates (g),fats (g),fibre,glycemic index,POTASSIUM(mg),SODIUM(mg),PHOSPHOROUS (mg),CALCIUM,IRON,Vitamin A MCG,Vitamin D,Vitamin C,Vitamin E,Vitamin K,THIAMINE Vitamin B1,RIBOFLAVIN Vitamin B2,NIACIN Vitamin B3,vitamin B12,FOLIC ACID VITAMIN B9,MAGNESIUM,ZINC,SELENIUM
Idly,1,piece,50,78,2.5,15.1,0.9,1.1,70,40,1,20,,,,,,,,,,,,,,,
Puri,1,piece,50,141,3,23.1,6.6,3.6,57,34,2,0,,,,,,,,,,,,,,,
Saada Dosa,1,piece,60,116,2.7,16.2,4.5,1.1,55,70,3,50,,,,,,,,,,,,,,,
Butter Masala Dosa,1,piece,107,190,3.4,23.6,9.2,2,65,500,200,205,,,,,,,,,,,,,,,
Masala Dosa,1,piece,103,163,3.3,22.1,6.8,1.9,65,500,200,205,,,,,,,,,,,,,,,
Raagi Dosa,1,piece,60,106,2.8,14.7,4,2.5,85,135,5,82,.,,,,,,,,,,,,,,
Poori,1,piece,50,141,3,23.1,6.6,3.6,57,34,2,0,,,,,,,,,,,,,,,
Upma,1,plate,130,171,4.4,24.3,6.3,2.5,69,61,8,44,,,,,,,,,,,,,,,
Uppit,1,plate,130,171,4.4,24.3,6.3,2.5,69,61,8,44,,,,,,,,,,,,,,,
Vermicelli Upma,1,plate,100,117,2.7,20.7,2.6,1.2,55,84,7,49,,,,,,,,,,,,,,,
Sevian Upma,1,plate,100,117,2.7,20.7,2.6,1.2,55,84,7,49,,,,,,,,,,,,,,,
Aval,1,plate,94,163,3.1,36.3,0.6,0.3,83,190,10,117,,,,,,,,,,,,,,,
Poha,1,plate,94,163,3.1,36.3,0.6,0.3,83,190,10,117,,,,,,,,,,,,,,,
Curds Poha,1,plate,100,136,3,16,6.8,1.3,67,200,10,117,,,,,,,,,,,,,,,
Avalakki,1,plate,94,163,3.1,36.3,0.6,0.3,83,190,10,117,,,,,,,,,,,,,,,
Mosaru Avalakki,1,plate,100,136,3,16,6.8,1.3,67,200,10,117,,,,,,,,,,,,,,,
Sheera,1,plate,1 KATORI,255,2,30.4,14.2,0.8,89,70,6,48,,,,,,,,,,,,,,,
Kesari Bath,1,plate,1 KATORI,255,2,30.4,14.2,0.8,89,70,6,48,,,,,,,,,,,,,,,
Kuzhi Paniyaram,1,piece,20,33,0.8,4.5,1.4,0.4,55,20,1,16,,,,,,,,,,,,,,,
Ponganalu,1,piece,20,33,0.8,4.5,1.4,0.4,55,20,1,16,,,,,,,,,,,,,,,
Vada,1,piece,65,80,3.5,8,3.5,3.4,53,120,6,60,,,,,,,,,,,,,,,
Paddu,1,piece,20,33,0.8,4.5,1.4,0.4,55,20,1,16,,,,,,,,,,,,,,,
Utappa,1,piece,120,226,5.2,31.7,8.7,2.6,55,103,6,17,,,,,,,,,,,,,,,
Uttapam,1,piece,120,226,5.2,31.7,8.7,2.6,55,103,6,17,,,,,,,,,,,,,,,
Tomato Uttapam,1,piece,150,163,4.7,26.6,4.4,3,48,103,6,17,,,,,,,,,,,,,,,
Onion Uttapam,1,piece,150,163,4.7,26.6,4.4,3,48,103,6,17,,,,,,,,,,,,,,,
Neer Dosa,1,piece,40,28,0.6,6.3,0.1,0.1,,39,3,45,,,,,,,,,,,,,,,
Pongal,1,plate,100,120,2.6,20,2.8,1.4,45,182,5,55,,,,,`,,,,,,,,,,
Onion Thalipeeth,1,piece,50,95,2.4,15.3,2.7,1.4,44,94,8,50,,,,,,,,,,,,,,,
Thalipeeth,1,piece,50,95,2.4,15.3,2.7,1.4,44,94,8,50,,,,,,,,,,,,,,,
Taalipattu,1,piece,50,95,2.4,15.3,2.7,1.4,44,94,8,50,,,,,,,,,,,,,,,
Ragi Mudhe,1,piece,150,97,2.2,21.4,0.4,3.4,85,88,7,82,,,,,,,,,,,,,,,
Rice,1,tbsp,31 gram,37.5,0.65,"8,55",0.1,0.15,73,13.75,0.5,17,,,,,,,,,,,,,,,
Rasam,1,cup,150 ml,60,1.6,10,1.5,1,18,164,7,33,,,,,,,,,,,,,,,
Saar,1,cup,150 ml,60,1.6,10,1.5,1,18,164,7,33,,,,,,,,,,,,,,,
Salna,1,cup,150,86,2.2,9.3,3.7,2.4,22,150,6,40,,,,,,,,,,,,,,,
Sambar,1,cup,150,86,2.2,9.3,3.7,2.4,22,150,6,40,,,,,,,,,,,,,,,
Puliyogare,1,plate,100,136,3.2,22.6,3.8,1.3,70,53,4,71,,,,,,,,,,,,,,,
Bisi Bele Bath,1,plate,124,157,4.5,27.4,3.3,2.8,70,169,3,45,,,,,,,,,,,,,,,
Til Rice,1,plate,124,171,3.6,26.4,5.7,1.1,70,53,4,71,,,,,,,,,,,,,,,
Ellu Sadam,1,plate,124,171,3.6,26.4,5.7,1.1,70,53,4,71,,,,,,,,,,,,,,,
Chitranna,1,plate,124,130,3,30.1,3.6,1.8,70,53,4,71,,,,,,,,,,,,,,,
Lemon Rice,1,plate,124,130,3,30.1,3.6,1.8,70,53,4,71,,,,,,,,,,,,,,,
Sesame Rice,1,plate,124,171,3.6,26.4,5.7,1.1,70,53,4,71,,,,,,,,,,,,,,,
Brinjal Rice,1,plate,124,143,2.7,21.5,5.2,1.6,70,53,4,71,,,,,,,,,,,,,,,
